Gene name,Gene name2,Gene Synonym 0,Gene Synonym 1,Gene Synonym 2,Gene Synonym 3,Gene Synonym 4,Gene Synonym 5,Gene Synonym 6,Gene Synonym 7,Gene Synonym 8,Gene Synonym 9,Gene Synonym 10,Gene Synonym 11,Gene Synonym 12,Gene Synonym 13,Gene Synonym 14,Gene Synonym 15,Gene Synonym 16,Gene Synonym 17,Gene Synonym 18,Gene Synonym 19,Gene Synonym 20,Gene Synonym 21,Gene Synonym 22,Gene Synonym 23,Gene Synonym 24,Gene Synonym 25,Gene Synonym 26,Gene Synonym 27,Gene Synonym 28,Gene Synonym 29,Gene Synonym 30,Gene Synonym 31
PARD6G,,PAR6gamma,PAR-6G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARD6G-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARGP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK7,,GATD2,DJ1,DJ-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK7P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK7P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARL,,RHBDS1,PSARL1,PSARL,PRO2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARM1,,WSC4,DKFZP564O0823,Cipar1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARM1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARN,,DAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP1,,PPOL,Poly-PARP,PARS,PARP,ARTD1,ADPRT,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP10,,FLJ14464,ARTD10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP11,,C12orf6,ARTD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP11-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP12,,ZC3HDC1,ZC3H1,PARP-12,FLJ22693,ARTD12,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP14,,pART8,KIAA1268,BAL2,ARTD8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP15,,pART7,FLJ40597,BAL3,ARTD7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP16,,pART15,FLJ25281,FLJ20509,C15orf30,ARTD15,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP1P1,,PPOLP1,ADPRTP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP1P2,,PPOLP2,ADPRTP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP2,,ARTD2,ADPRTL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP3,,pADPRT-3,IRT1,hPARP-3,ARTD3,ADPRTL3,ADPRT3,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP4,,VWA5C,VPARP,VAULT3,p193,ARTD4,ADPRTL1,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP4P1,,PARP4PY1,PARP4P,ADPRTL1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP4P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP4P3,,ADPRTL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP6,,pART17,ARTD17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP8,,pART16,FLJ21308,ARTD16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP9,,BAL1,BAL,ARTD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARPBP,,PARI,FLJ20641,C12orf48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARS2,,DKFZp727A071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART1,,NCRNA00206,DKFZP586D0823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICL,,PARTICLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARVA,,MXRA2,FLJ12254,FLJ10793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARVB,,CGI-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASD1,,CT63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASK,,STK37,PASKIN,KIAA0135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATE1,,PATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATE2,,UNQ3112,PATE-M,LVLF3112,C11orf38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATE3,,PATE-DJ,HEL-127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATE4,,PATE-B,FLJ41047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATJ,,INADL,Cipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATJ-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATL1,,Pat1b,FLJ36874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATL1-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATL2,,Pat1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATZ1,,ZSG,ZNF278,ZBTB19,RIAZ,PATZ,MAZR,dJ400N23,,,,,,,,,,,,,,,,,,,,,,,,,
PAUPAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAWR,,PAR4,par-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAWRP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX2,,PAX-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX3,,WS1,PAX-3,HUP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX4,,MODY9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX5,,PAX-5,BSAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX6,,WAGR,D11S812E,AN2,AN1,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX7,,Hup1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX8,,PAX-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX8-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXBP1,,GCFC1,GCFC,fSAP105,C21orf66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXBP1-AS1,,GCFC1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXBP1P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXIP1,,TNRC2,PTIP,PAXIP1L,CAGF29,CAGF28,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXIP1-AS2,,PAXIP1OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXIP1-DT,,PAXIP1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXX,,XLS,C9orf142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBDC1,,MGC874,CXorf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBK,,TOPK,SPK,Nori-3,FLJ14385,CT84,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBLD,,MAWDBP,MAWBP,FLJ14767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBOV1,,UROC28,UC28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBRM1,,SMARCH1,PB1,BAF180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBX1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBX2,,PBX2MHC,HOX12,G17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBX2P1,,PBXP1,PBX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBX3-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBXIP1,,HPIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,,PCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA3,,PRUNE2-AS1,PCAT3,NCRNA00019,DD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCARE,,RP54,FLJ34931,C2orf71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAT1,,PiHL,PCAT-1,PCA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAT14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAT18,,LINC01092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAT19,,LOC100505495,LINC01190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAT4,,PCAN1,PCA4,GDEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAT5,,TPCAT-10-36067,LINC01452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAT6,,PCAN-R1,onco-lncRNA-96,ncRNA-a2,KDM5BAS1,KDM5B-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAT7,,PCAN-R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBD1,,PCD,PCBD,DCOH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBD2,,DCOHM,DCOH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP1,,HNRPX,HNRPE1,hnRNP-X,hnRNP-E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP2,,HNRPE2,HNRNPE2,hnRNP-E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP2-OT1,,uc.338,TUC338,TUC.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP2P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP2P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP2P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP3,,PCBP3OT,PCBP3-OT1,FLJ44028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP4,,MCG10,LIP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCCA-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCCA-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH1,,pc42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH10,,OL-PCDH,KIAA1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH10-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH11X,,PPP1R119,PCDHX,PCDH11,PCDH-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH11Y,,PCDHY,PCDH22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH15,,USH1F,DFNB23,CDHR15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH17,,PCH68,PCDH68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH18,,PCDH68L,KIAA1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH19,,KIAA1313,EIEE9,EFMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH20,,PCDH13,FLJ22218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH7,,PPP1R120,BH-Pcdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH8,,PAPC,ARCADLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH8P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH9-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH9-AS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH9-AS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH9-AS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA10,,PCDH-ALPHA10,CRNR8,CNRS8,CNRN8,CNR8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA11,,PCDH-ALPHA11,CRNR7,CNRS7,CNRN7,CNR7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA12,,PCDH-ALPHA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA13,,PCDH-ALPHA13,CRNR5,CNRS5,CNRN5,CNR5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA14,,PCDH-PSI4,CRNR3,CNRS3,CNR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA3,,PCDH-ALPHA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA4,,PCDH-ALPHA4,CRNR1,CNRN1,CNR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA5,,PCDH-ALPHA5,CRNR6,CNRS6,CNRN6,CNR6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA6,,PCDH-ALPHA6,CRNR2,CNRS2,CNR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA7,,CRNR4,CNRS4,CNR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA9,,PCDH-ALPHA9,KIAA0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHAC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHAC2,,PCDH-ALPHA-C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB1,,PCDH-BETA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB11,,PCDH-BETA11,ME2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB12,,PCDH-BETA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB13,,PCDH-BETA13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB14,,PCDH-BETA14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB15,,PCDH-BETA15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB16,,PCDHB8a,PCDH3X,PCDH-BETA16,ME1,KIAA1621,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB17P,,PCDHB17,PCDH-psi1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB18P,,PCDHB18,PCDH-psi2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB19P,,PCDH-PSI5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB2,,PCDH-BETA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB3,,PCDH-BETA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB4,,PCDH-BETA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB5,,PCDH-BETA5,DKFZp586B0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB6,,PCDH-BETA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB7,,PCDH-BETA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB8,,PCDH3I,PCDH-BETA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB9,,PCDH3H,PCDH-BETA9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA1,,PCDH-GAMMA-A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA10,,PCDH-GAMMA-A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA11,,PCDH-GAMMA-A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA12,,PCDH-GAMMA-A12,KIAA0588,FIB3,CDH21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA2,,PCDH-GAMMA-A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA3,,PCDH-GAMMA-A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA4,,PCDH-GAMMA-A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA5,,PCDH-GAMMA-A5,ME3,CDH-GAMMA-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA6,,PCDH-GAMMA-A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA7,,PCDH-GAMMA-A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA8,,PCDH-GAMMA-A8,KIAA0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA9,,PCDH-GAMMA-A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB1,,PCDH-GAMMA-B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB2,,PCDH-GAMMA-B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB3,,PCDH-GAMMA-B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB4,,PCDH-GAMMA-B4,FIB2,CDH20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB5,,PCDH-GAMMA-B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB6,,PCDH-GAMMA-B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB7,,PCDH-GAMMA-B7,ME6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB8P,,PCDH-PSI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB9P,,PSI6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGC3,,PCDH2,PCDH-GAMMA-C3,PC43,PC-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGC4,,PCDH-GAMMA-C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGC5,,PCDH-GAMMA-C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCED1A,,FLJ22376,FAM113A,C20orf81,bA12M19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCED1B,,MGC16044,FAM113B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCED1B-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCED1CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCF11,,KIAA0824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCF11-AS1,,ENST00000602322.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCGEM1,,PCAT9,NCRNA00071,LINC00071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCGF1,,RNF68,NSPC1,MGC10882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCGF2,,ZNF144,RNF110,MEL-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCGF3,,RNF3A,RNF3,MGC40413,FLJ36550,DONG1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCGF3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCGF5,,RNF159,MGC16202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCGF6,,RNF134,MBLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCGF7P,,RNF134P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCID2,,FLJ11305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCIF1,,PPP1R121,CAPAM,C20orf67,bA465L10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCK1,,PEPCK-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCK2,,PEPCK2,PEPCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCLAF,,PAF15,p15(PAF),OEATC-1,NS5ATP9,KIAA0101,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCLO,,KIAA0559,DKFZp779G1236,ACZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCM1,,PTC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCMT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCMTD1,,FLJ10883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCMTD1-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCMTD1P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCMTD1P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCMTD1P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCMTD1P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCMTD2,,FLJ10883,C20orf36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNAP1,,p1PCNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNAP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNAP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNPP1,,PCNPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNPP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNPP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNPP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNPP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNT,,SCKL4,PCNTB,PCNT2,PCN,KIAA0402,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNX1,,pecanex,PCNXL1,PCNX,KIAA0995,KIAA0805,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNX2,,PCNXL2,KIAA0435,FLJ11383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNX3,,PCNXL3,FLJ22427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNX4,,PCNXL4,C14orf135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNX4-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCOLCE,,PCPE1,PCPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCOLCE2,,PCPE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCOLCE-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCOTH,,C1QTNF9B-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCP2,,MGC41903,GPSM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCP4,,PEP-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCP4L1,,IQM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSEAT,,PRCAT38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK1,,SPC3,PC3,PC1/3,PC1,NEC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK1N,,SgVIII,SCG8,SAAS,proSAAS,PEN,BigLEN,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK2,,SPC2,PC2,NEC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK4,,SPC5,PC4,MGC34749,DKFZp434B217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK5,,SPC6,PC6,PC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK6,,SPC4,PACE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK6-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK7,,SPC7,PC8,PC7,LPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK9,,NARC-1,HCHOLA3,FH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCTP,,STARD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCYOX1,,PCL1,KIAA0908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCYOX1L,,MGC3265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCYT1A,,PCYT1,CTPCT,CT,CCTalpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCYT1B,,CTB,CCTbeta,CCT-beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCYT1B-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCYT2,,ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDAP1,,PAP1,PAP,HASPP28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDC,,MEKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDC-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD1,,SLEB2,PD1,PD-1,hSLE1,CD279,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD10,,TFAR15,CCM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD11,,RRP5,NFBP,KIAA0185,ALG-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD1LG2,,PDL2,PD-L2,CD273,Btdc,bA574F11.2,B7-DC,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD2,,ZMYND7,RP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD2L,,MGC13096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD4,,H731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD4-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD5,,TFAR19,MGC9294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD5P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD5P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD6,,PEF1B,ALG-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD6-AHRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD6-DT,,HRAT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
